Camera_Location,Street
0288A,Strickland Crescent
0098E,Haydon Drive
0052B,Novar Street
0052C,Novar Street
0105A,Stonehaven Crescent
0084E,Gundaroo Drive
0191A,McCulloch Street
0241B,Shumack Street
0223A,Kosciuszko Avenue
0309B,Bangalay Crescent
0053F,Goyder Street
0053E,Goyder Street
0167A,Hodgson Crescent
0222A,Shoalhaven Avenue
0274A,Blackwood Terrace
0274B,Blackwood Terrace
0080C,Kings Avenue
0152A,Dixon Drive
0190A,Duggan Street
0300A,Burrinjuck Crecent
0018H,Melrose Drive
0041A,Learmonth Drive
0062C,Drakeford Drive
0035A,Mugga Way
0051C,La Perouse Street
0037F,Namatjira Drive
0062E,Drakeford Drive
0122J,Gungahlin Drive
0079B,Canberra Avenue
0244A,Lanyon Drive
0283A,MacFarland Crescent
0206C,Macarthur Avenue
0206A,Macarthur Avenue
0089D,Federal Highway
0062I,Drakeford Drive
0015G,Kingsford Smith Drive
0074D,Mugga Lane
0078A,Canberra Avenue
0142A,Sutton Road
0099A,Yamba Drive
0099D,Yamba Drive
0099B,Yamba Drive
0164B,Barr Smith Avenue
0182B,Outtrim Avenue
0002N,Antill Street
0002L,Antill Street
0002H,Antill Street
0075A,Parkes Way
0258A,Amy Ackman Street
0122B,Gungahlin Drive
0122D,Gungahlin Drive
0310A,David Walsh Avenue
0061S,Barton Highway
0023A,Parkes Way
0016B,Lady Denman Drive
0119Q,Horse Park Drive
0086B,Bindubi Street
0085C,Gundaroo Drive
0030B,Taverner Street
0075I,Parkes Way
0075E,Parkes Way
0075F,Parkes Way
0075G,Parkes Way
0075H,Parkes Way
0188A,Johnson Drive
0197B,Mirrabei Drive
0197A,Mirrabei Drive
0220B,Mulligans Flat Road
0220A,Mulligans Flat Road
0151A,Narrabundah Lane
0014J,Hindmarsh Drive
0069D,Erindale Drive
0119C,Horse Park Drive
0065A,Barry Drive
0037G,Namatjira Drive
0018E,Melrose Drive
0106C,William Webb Drive
0157B,Tom Roberts Avenue
0145B,Summerland Circuit
0145A,Summerland Circuit
0144B,Boddington Crescent
0144D,Boddington Crescent
0275A,O'Halloran Circuit
0202B,Anzac Parade
0245B,Aikman Drive
0196E,Anthony Rolfe Avenue
0196F,Anthony Rolfe Avenue
0313A,Roden Cutler Drive
0267A,Wilkins Street
0218A,Krefft Street
0130B,Chewings Street
0009D,Florey Drive
0009B,Florey Drive
0185B,Brisbane Avenue
0180A,Spalding Street
0249B,Jim Pike Avenue
0028C,Pockett Avenue
0042B,Petterd Street
0042A,Petterd Street
0032C,Kerrigan Street
0050C,Darwinia Terrace
0029F,Owen Dixon Drive
3073A,Ainsworth Street
0101A,Nemarang Crescent
0043A,Williamson Street
0301A,Pethebridge Street
0170B,Giles Street
0160B,State Circle
0160A,State Circle
0160E,State Circle
0230D,John Gorton Drive
0302A,Archibald Street
0314A,Fullagar Crescent
0265A,Bunbury Street
0125A,Castieau Street
0225A,Abena Avenue
0279A,Goldstein Crescent
0165A,Ellerston Avenue
0143A,Bateman Street
0089E,Federal Highway
0178L,Flemington Road
0230E,John Gorton Drive
0174B,MacGregor  Street
0021A,Mugga Lane
0021D,Mugga Lane
0067A,Ginninderra Drive
0244B,Lanyon Drive
0231C,Kings Highway
0069F,Erindale Drive
0229A,Clarrie Hermes Drive
0117B,Tharwa Drive
0117A,Tharwa Drive
0077E,Yarra Glen
0077B,Yarra Glen
0077D,Yarra Glen
0093C,Southern Cross Drive
0093F,Southern Cross Drive
0093B,Southern Cross Drive
0093D,Southern Cross Drive
0096E,Coulter Drive
0096I,Coulter Drive
0096J,Coulter Drive
0096H,Coulter Drive
0228A,Well Station Drive
0228B,Well Station Drive
0228C,Well Station Drive
0072H,Monaro Highway
0306A,Morshead Drive
0306B,Morshead Drive
0014I,Hindmarsh Drive
0010C,Ginninderra Drive
0010D,Ginninderra Drive
0010A,Ginninderra Drive
0012M,Gungahlin Drive
0012N,Gungahlin Drive
0066A,Ginninderra Drive
0017B,Long Gully Road
